record_id,trial_id,channel,hard_ok,clip_samples_in_support,flat_samples_in_support,ptp,jump,baseline_scale,drift_abs,rejection_reasons
VisualCogA_Task-1,VisualCogA_Ta:000,Fz,True,0,0,172.18280308232238,45.44136720836195,7.827566948958459,95.4757000076296,
VisualCogA_Task-1,VisualCogA_Ta:000,F3,True,0,0,271.88525215533707,52.979324025330016,12.035449759670193,121.87380788891426,
VisualCogA_Task-1,VisualCogA_Ta:000,F4,True,0,0,183.59655146105138,49.16456855115575,11.085282673380512,119.49340047302974,
VisualCogA_Task-1,VisualCogA_Ta:001,Fz,True,0,0,57.557030594338926,21.271076523994907,7.737074845502291,20.248722056916108,
VisualCogA_Task-1,VisualCogA_Ta:001,F3,True,0,0,178.01174944686045,21.759365224689077,11.356758983749016,19.073777370870573,
VisualCogA_Task-1,VisualCogA_Ta:001,F4,True,0,0,851.2092774853131,28.74799725337607,46.87490959029509,142.94651712825214,
VisualCogA_Task-1,VisualCogA_Ta:002,Fz,True,0,0,335.4543373769741,23.529411764705856,9.456424811169486,48.981460288395624,
VisualCogA_Task-1,VisualCogA_Ta:002,F3,False,194,192,,,,,clip_or_out_of_range|flat_run
VisualCogA_Task-1,VisualCogA_Ta:002,F4,False,232,232,,,,,clip_or_out_of_range|flat_run
VisualCogA_Task-1,VisualCogA_Ta:003,Fz,True,0,0,60.21210040436404,21.45418478675515,5.972478828107096,55.313954375524645,
VisualCogA_Task-1,VisualCogA_Ta:003,F3,True,0,0,345.61684596017403,34.54642557412069,22.034827191577026,10.360875867856805,
VisualCogA_Task-1,VisualCogA_Ta:003,F4,True,0,0,260.9292744335088,39.21568627450972,6.78690775921261,187.685969329366,
VisualCogA_Task-1,VisualCogA_Ta:004,Fz,True,0,0,79.28587777523455,19.317921721217544,11.447251087205185,48.111696040283846,
VisualCogA_Task-1,VisualCogA_Ta:004,F3,True,0,0,321.50759136339366,29.205767910276904,22.487287708858034,37.06416418707556,
VisualCogA_Task-1,VisualCogA_Ta:004,F4,True,0,0,143.09910734721905,25.36049439230942,16.3790707255666,234.66849774929437,
VisualCogA_Task-1,VisualCogA_Ta:005,Fz,True,0,0,101.99130235751886,21.210040436408008,6.153463035019433,23.36156252384211,
VisualCogA_Task-1,VisualCogA_Ta:005,F3,True,0,0,1010.5745021744106,30.579079880979407,39.68078736552964,72.41931792172113,
VisualCogA_Task-1,VisualCogA_Ta:005,F4,True,0,0,1240.2532997634853,29.236285954070354,56.738548867017585,55.207141222247685,
VisualCogA_Task-1,VisualCogA_Ta:006,Fz,True,0,0,52.21637293049514,21.576256961928834,8.777734035248477,32.94422827496771,
VisualCogA_Task-1,VisualCogA_Ta:006,F3,True,0,0,142.33615625238417,28.564888990615714,9.501670862897655,54.90196078431376,
VisualCogA_Task-1,VisualCogA_Ta:006,F4,True,0,0,291.6914625772488,30.42648966201284,10.13511558709083,58.04531929503321,
VisualCogA_Task-1,VisualCogA_Ta:007,Fz,True,0,0,88.47180895704582,19.439993896391115,7.6465827420462915,34.225986114290095,
VisualCogA_Task-1,VisualCogA_Ta:007,F3,True,0,0,525.3681239032578,29.81612878614476,8.189535362783133,74.69291218432897,
VisualCogA_Task-1,VisualCogA_Ta:007,F4,True,0,0,688.5175860227358,26.85587853818572,9.139702449072981,264.78980697337295,
VisualCogA_Task-1,VisualCogA_Ta:008,Fz,True,0,0,45.563439383535524,18.31082627603564,7.737074845502291,12.405584802014118,
VisualCogA_Task-1,VisualCogA_Ta:008,F3,True,0,0,244.02227817196922,26.61173418783858,6.062970931563265,145.0675211718929,
VisualCogA_Task-1,VisualCogA_Ta:008,F4,True,0,0,113.4966048676281,27.100022888532862,6.877399862668778,176.1043717097735,
VisualCogA_Task-1,VisualCogA_Ta:009,Fz,True,0,0,60.852979324025455,20.17242694743254,7.827566948958628,22.140840772106458,
VisualCogA_Task-1,VisualCogA_Ta:009,F3,True,0,0,93.26314183260854,29.083695735103447,9.049210345616983,105.60769054703593,
VisualCogA_Task-1,VisualCogA_Ta:009,F4,True,0,0,121.40077821011664,31.128404669260703,6.967891966124946,169.2988479438468,
VisualCogA_Task-1,VisualCogA_Ta:010,Fz,True,0,0,82.42923628595406,19.806210421912056,7.827566948958796,39.20042725261328,
VisualCogA_Task-1,VisualCogA_Ta:010,F3,True,0,0,884.199282825971,34.66849774929415,19.591540398260992,537.178606851301,
VisualCogA_Task-1,VisualCogA_Ta:010,F4,True,0,0,562.7832455939573,34.760051880674155,8.551503776607804,385.32082093537804,
VisualCogA_Task-1,VisualCogA_Ta:011,Fz,True,0,0,67.84161135271233,23.224231326771815,11.08528267338085,43.04570077058065,
VisualCogA_Task-1,VisualCogA_Ta:011,F3,True,0,0,96.25391012436103,40.558480201419115,18.550881208514635,60.410467689021175,
VisualCogA_Task-1,VisualCogA_Ta:011,F4,True,0,0,137.27016098268098,25.421530479896205,13.211847104600547,161.36415655756463,
VisualCogA_Task-1,VisualCogA_Ta:012,Fz,True,0,0,61.52437628747998,20.20294499122599,8.777734035248477,27.878233005264292,
VisualCogA_Task-1,VisualCogA_Ta:012,F3,True,0,0,67.3228046082246,34.30228122377355,10.270853742275168,56.59571221484708,
VisualCogA_Task-1,VisualCogA_Ta:012,F4,True,0,0,73.79262989242386,23.529411764705856,10.58757610437167,22.537575341420677,
VisualCogA_Task-1,VisualCogA_Ta:013,Fz,True,0,0,124.05584802014187,22.40024414435061,8.596749828336142,16.800183108262672,
VisualCogA_Task-1,VisualCogA_Ta:013,F3,True,0,0,964.1260395208667,33.29518577859153,14.071522087433891,722.3773556115054,
VisualCogA_Task-1,VisualCogA_Ta:013,F4,False,390,390,,,,,clip_or_out_of_range|flat_run
VisualCogA_Task-1,VisualCogA_Ta:014,Fz,True,0,0,139.10124361028466,19.745174334325156,8.415765621423805,54.18478675516906,
VisualCogA_Task-1,VisualCogA_Ta:014,F3,True,0,0,757.5494010833905,37.04890516517912,10.451837949187503,42.069123369192084,
VisualCogA_Task-1,VisualCogA_Ta:014,F4,False,60,59,,,,,clip_or_out_of_range|flat_run
VisualCogA_Task-1,VisualCogA_Ta:015,Fz,True,0,0,134.82871747920956,27.496757457846797,5.972478828107096,23.910887312123236,
VisualCogA_Task-1,VisualCogA_Ta:015,F3,True,0,0,276.5239948119324,41.29091325246054,16.695793087662935,248.12695506218057,
VisualCogA_Task-1,VisualCogA_Ta:015,F4,True,0,0,333.13496604867623,27.527275501640247,26.423694209201095,339.5895323109788,
VisualCogA_Task-1,VisualCogA_Ta:016,Fz,True,0,0,133.66903181506063,19.37895780880467,11.854465552758025,18.814373998626593,
VisualCogA_Task-1,VisualCogA_Ta:016,F3,True,0,0,181.64339665827424,35.034714274814974,11.944957656214193,195.23918516823073,
VisualCogA_Task-1,VisualCogA_Ta:016,F4,True,0,0,178.68314641031498,26.367589837491437,9.365932707713318,281.91042954146644,
VisualCogA_Task-1,VisualCogA_Ta:017,Fz,True,0,0,100.49591821164256,31.708247501335336,9.818393224994495,34.19546807049676,
VisualCogA_Task-1,VisualCogA_Ta:017,F3,True,0,0,138.2162203402762,35.126268406195095,8.596749828335973,12.31403067063394,
VisualCogA_Task-1,VisualCogA_Ta:017,F4,True,0,0,127.53490501258864,34.82108796826117,8.370519569695636,13.3211261158159,
VisualCogA_Task-1,VisualCogA_Ta:018,Fz,True,0,0,130.89188982986195,20.019836728465634,51.21853055619116,37.97970550087746,
VisualCogA_Task-1,VisualCogA_Ta:018,F3,True,0,0,135.16441596093705,27.496757457847025,51.39951476310384,62.11947814145117,
VisualCogA_Task-1,VisualCogA_Ta:018,F4,True,0,0,163.851377126726,32.99000534065749,52.530666056305854,77.07331960021361,
VisualCogA_Task-1,VisualCogA_Ta:019,Fz,True,0,0,264.16418707560865,24.96375982299537,8.461011673151805,135.14915693904015,
VisualCogA_Task-1,VisualCogA_Ta:019,F3,False,65,65,,,,,clip_or_out_of_range|flat_run
VisualCogA_Task-1,VisualCogA_Ta:019,F4,False,198,197,,,,,clip_or_out_of_range|flat_run
VisualCogA_Task-1,VisualCogA_Ta:020,Fz,True,0,0,126.98558022430768,19.2568856336311,7.1036301213092825,28.671702143892503,
VisualCogA_Task-1,VisualCogA_Ta:020,F3,True,0,0,166.4148928053712,31.738765545128558,7.64658274204646,147.7683680476082,
VisualCogA_Task-1,VisualCogA_Ta:020,F4,True,0,0,297.94766155489435,26.459143968871558,5.429526207370088,232.10498207064927,
VisualCogA_Task-1,VisualCogA_Ta:021,Fz,True,0,0,158.81589990081625,19.867246509498727,7.1036301213092825,79.60631723506526,
VisualCogA_Task-1,VisualCogA_Ta:021,F3,True,0,0,1143.8162813763638,37.50667582207984,56.24084229800824,204.74555580987249,
VisualCogA_Task-1,VisualCogA_Ta:021,F4,False,38,38,,,,,clip_or_out_of_range|flat_run
VisualCogA_Task-1,VisualCogA_Ta:022,Fz,True,0,0,126.83299000534055,26.733806363012036,5.83674067292276,78.23300526436253,
VisualCogA_Task-1,VisualCogA_Ta:022,F3,True,0,0,952.4376287479973,32.89845120927748,34.52273746852823,14.892805371175655,
VisualCogA_Task-1,VisualCogA_Ta:022,F4,True,0,0,1179.4308384832532,33.87502861066582,41.21915312428467,95.61303120469978,
VisualCogA_Task-1,VisualCogA_Ta:023,Fz,True,0,0,125.88693064774554,23.590447852292982,6.786907759212442,31.235217822537606,
VisualCogA_Task-1,VisualCogA_Ta:023,F3,True,0,0,125.55123216601817,41.04676890211351,9.637409018081991,289.2652780956741,
VisualCogA_Task-1,VisualCogA_Ta:023,F4,True,0,0,153.353170061799,26.428625925078222,10.994790569924513,300.58747234302285,
VisualCogA_Task-1,VisualCogA_Ta:024,Fz,True,0,0,72.35828183413457,24.7806515602349,7.1036301213092825,0.35095750362398803,
VisualCogA_Task-1,VisualCogA_Ta:024,F3,True,0,0,323.6743724727244,28.6259250782025,19.86301670862899,171.74029144731816,
VisualCogA_Task-1,VisualCogA_Ta:024,F4,True,0,0,889.967193102922,28.107118333714766,58.0506843671316,131.53276874952314,
VisualCogA_Task-1,VisualCogA_Ta:025,Fz,True,0,0,139.37590600442513,18.799114976729925,11.763973449302194,19.72991531242843,
VisualCogA_Task-1,VisualCogA_Ta:025,F3,True,0,0,144.59449149309523,35.187304493781994,15.021689173724079,36.39276722362098,
VisualCogA_Task-1,VisualCogA_Ta:025,F4,True,0,0,128.11474784466316,29.29732204165714,11.266266880293017,97.12367437247275,
VisualCogA_Task-1,VisualCogA_Ta:026,Fz,True,0,0,176.60791943236438,25.116350041962505,8.461011673151805,18.02090485999844,
VisualCogA_Task-1,VisualCogA_Ta:026,F3,False,184,184,,,,,clip_or_out_of_range|flat_run
VisualCogA_Task-1,VisualCogA_Ta:026,F4,False,226,226,,,,,clip_or_out_of_range|flat_run
VisualCogA_Task-1,VisualCogA_Ta:027,Fz,True,0,0,225.3757534142062,80.41504539559037,7.827566948958459,86.94590676737607,
VisualCogA_Task-1,VisualCogA_Ta:027,F3,True,0,0,293.30891889829854,166.78110933089192,9.863639276722326,102.28122377355606,
VisualCogA_Task-1,VisualCogA_Ta:027,F4,True,0,0,298.3138780804152,143.09910734721916,20.632199588006504,122.39261463340205,
VisualCogA_Task-1,VisualCogA_Ta:028,Fz,True,0,0,117.46395056076915,22.278171969176697,9.592162966353822,22.598611429007292,
VisualCogA_Task-1,VisualCogA_Ta:028,F3,True,0,0,158.4191653315022,28.381780727855357,9.365932707713318,308.55268177309836,
VisualCogA_Task-1,VisualCogA_Ta:028,F4,True,0,0,232.21179522392617,27.618829633020482,10.225607690547,380.72785534447235,
VisualCogA_Task-1,VisualCogA_Ta:029,Fz,True,0,0,59.93743801022356,21.149004348821336,10.994790569924513,7.858396276798658,
VisualCogA_Task-1,VisualCogA_Ta:029,F3,True,0,0,87.15953307392999,27.25261310749977,8.461011673151805,154.94010833905548,
VisualCogA_Task-1,VisualCogA_Ta:029,F4,True,0,0,90.91325246051724,34.39383535515378,13.211847104600547,169.8786907759212,
VisualCogA_Task-1,VisualCogA_Ta:030,Fz,True,0,0,117.03669794766176,18.646524757763018,9.230194552529317,18.295567254138973,
VisualCogA_Task-1,VisualCogA_Ta:030,F3,True,0,0,216.3118944075685,23.163195239185143,12.03544975967053,83.72625314717328,
VisualCogA_Task-1,VisualCogA_Ta:030,F4,True,0,0,464.78980697337295,25.329976348516084,26.876154726482103,180.84992751964603,
VisualCogA_Task-1,VisualCogA_Ta:031,Fz,True,0,0,71.22911421377898,21.02693217364765,7.8728130006866275,22.629129472800685,
VisualCogA_Task-1,VisualCogA_Ta:031,F3,True,0,0,90.39444571602962,27.161058976119648,7.465598535133787,46.95201037613492,
VisualCogA_Task-1,VisualCogA_Ta:031,F4,True,0,0,99.00053406576637,25.66567483024346,8.68724193179214,56.32104982070655,
VisualCogA_Task-1,VisualCogA_Ta:032,Fz,True,0,0,64.63721675440604,20.386053253986347,9.592162966353822,22.110322728313065,
VisualCogA_Task-1,VisualCogA_Ta:032,F3,True,0,0,75.62371252002742,25.726710917830246,7.5560906385899544,7.949950408178836,
VisualCogA_Task-1,VisualCogA_Ta:032,F4,True,0,0,68.75715266651423,28.47333485923548,9.954131380178495,4.379339284351829,
VisualCogA_Task-1,VisualCogA_Ta:033,Fz,True,0,0,69.36751354238197,24.048218509193475,17.28399176012828,26.99320973525596,
VisualCogA_Task-1,VisualCogA_Ta:033,F3,True,0,0,127.71801327534888,28.198672465094887,18.86760357061097,7.705806057831694,
VisualCogA_Task-1,VisualCogA_Ta:033,F4,True,0,0,113.49660486762787,30.36545357442583,18.82235751888348,8.041504539558957,
VisualCogA_Task-1,VisualCogA_Ta:034,Fz,True,0,0,64.85084306095973,19.012741283283844,8.68724193179214,21.13374532692444,
VisualCogA_Task-1,VisualCogA_Ta:034,F3,True,0,0,106.44693675135409,27.222095063706433,8.234781414511469,33.89028763256283,
VisualCogA_Task-1,VisualCogA_Ta:034,F4,True,0,0,89.66201266498808,25.452048523689655,8.461011673151468,43.73235675593196,
